ticker,date,current_price,previous_close,volume,market_cap,open_price,day_high,day_low
RELIANCE.NS,2024-03-04,2070.6177883196074,2092.8850509558233,1306526,5208941167,2059.462264988003,2070.784516352203,1987.2792844088813
RELIANCE.NS,2024-03-05,2005.6246946746487,2070.6177883196074,2777213,86462416666,2091.1345836389974,2150.7096462410273,1996.294597286868
RELIANCE.NS,2024-03-06,2035.1146279122547,2005.6246946746487,4356526,47900333161,2006.0939900856706,2086.1446341376036,1976.8533428262965
RELIANCE.NS,2024-03-07,2045.3251248007114,2035.1146279122547,4516630,79596627934,2055.022682584906,2124.6553425661573,2010.152750062195
RELIANCE.NS,2024-03-08,2097.1969569446983,2045.3251248007114,939830,61941144476,2070.96722360621,2111.01489845058,2061.6046217661465
RELIANCE.NS,2024-03-09,2113.7322041316934,2097.1969569446983,3872799,68093488884,2110.928018168926,2192.498228873581,2037.3428609970172
RELIANCE.NS,2024-03-10,2063.4503538923614,2113.7322041316934,2360057,76722006460,2115.6052198127713,2190.8444750566823,2009.8535614717068
RELIANCE.NS,2024-03-11,2055.7720491424493,2063.4503538923614,3974189,37089150407,2054.168209712564,2105.0120890289695,2000.5710573773952
RELIANCE.NS,2024-03-12,2043.2339390711993,2055.7720491424493,1434031,13139216117,2032.6705989741097,2097.0131743863494,2017.1546524266278
RELIANCE.NS,2024-03-13,2003.6717112511762,2043.2339390711993,4374904,51570582609,2080.3934345292996,2104.263728289705,1976.8101301862653
RELIANCE.NS,2024-03-14,1973.9416376007418,2003.6717112511762,3638262,99635506778,1988.1026073021033,2037.2760843316844,1901.3920240590444
RELIANCE.NS,2024-03-15,1899.6961611900977,1973.9416376007418,2501790,71637339612,1935.065292202398,1984.999667481693,1867.0026199767203
RELIANCE.NS,2024-03-16,1935.2009626274082,1899.6961611900977,4226767,74845180748,1919.549678140453,1943.871687584551,1903.5279016407555
RELIANCE.NS,2024-03-17,1903.5560051884913,1935.2009626274082,3264599,9562271609,1912.7166220752727,1947.6253889930706,1883.8376815630756
RELIANCE.NS,2024-03-18,1868.933433151224,1903.5560051884913,820988,8322025264,1896.7979433831615,1945.771867634269,1842.6898707994012
RELIANCE.NS,2024-03-19,1835.9653456626502,1868.933433151224,2173941,36309531068,1872.4213598134816,1881.7244747838345,1830.832155246252
RELIANCE.NS,2024-03-20,1797.8375765374353,1835.9653456626502,3529451,90941715856,1856.105289308001,1880.993146693796,1778.7060099123155
RELIANCE.NS,2024-03-21,1824.1952041106706,1797.8375765374353,3381820,89576784203,1767.7973886434875,1827.589061557976,1690.823689621407
RELIANCE.NS,2024-03-22,1862.8384693165192,1824.1952041106706,3024820,76199713876,1854.1680887077703,1905.6149763185213,1853.388782735859
RELIANCE.NS,2024-03-23,1894.085282349078,1862.8384693165192,1795352,58550355026,1829.0742800074509,1919.4290239351621,1811.6053145100327
RELIANCE.NS,2024-03-24,1923.7821629667674,1894.085282349078,1977716,75958062958,1922.0372627773359,1948.3607584591414,1873.6534397469982
RELIANCE.NS,2024-03-25,1842.8717083369463,1923.7821629667674,3562675,11764741128,1886.7389745468456,1965.318809160801,1824.6456456399958
RELIANCE.NS,2024-03-26,1837.9315520030148,1842.8717083369463,3222782,65365819281,1846.3040510424312,1849.585607647087,1831.32106741273
RELIANCE.NS,2024-03-27,1927.3009275905065,1837.9315520030148,802196,88784232556,1858.440685407248,1950.4923666424434,1821.5493296696723
RELIANCE.NS,2024-03-28,1982.6929199291872,1927.3009275905065,4121481,28503476758,1915.4932421120625,2010.6465280718267,1898.724356145003
RELIANCE.NS,2024-03-29,1991.7387801125617,1982.6929199291872,4839171,57621596528,1996.096830391452,2061.0959948278287,1981.6076424329456
RELIANCE.NS,2024-03-30,2042.3426075790862,1991.7387801125617,4082330,22142089001,1990.2858706525597,2085.01570693534,1954.021069084129
RELIANCE.NS,2024-03-31,2041.1185903918038,2042.3426075790862,1074150,66353102576,2074.1355156150107,2076.5266197787673,2039.199560207515
RELIANCE.NS,2024-04-01,2044.2633173195188,2041.1185903918038,3626413,64442308730,2060.797292040336,2078.493278180402,1982.914300018155
RELIANCE.NS,2024-04-02,2031.2003088635413,2044.2633173195188,1604136,54451666455,2075.9896031724206,2081.221203628164,1986.469254325196
